Vdiode ,v("/Vd" ?result "dc") (V),i("/D0/plus" ?result "dc") (A),i("/I3/p" ?result "dc") (A)
0.000,0.000,0.000,0.000
21.00E-3,21.00E-3,21.31E-15,21.31E-15
42.00E-3,42.00E-3,42.45E-15,42.45E-15
63.00E-3,63.00E-3,63.51E-15,63.51E-15
84.00E-3,84.00E-3,84.54E-15,84.54E-15
105.0E-3,105.0E-3,105.5E-15,105.5E-15
126.0E-3,126.0E-3,126.6E-15,126.6E-15
147.0E-3,147.0E-3,147.6E-15,147.6E-15
168.0E-3,168.0E-3,168.6E-15,168.6E-15
189.0E-3,189.0E-3,189.6E-15,189.7E-15
210.0E-3,210.0E-3,210.8E-15,210.8E-15
231.0E-3,231.0E-3,232.1E-15,232.0E-15
252.0E-3,252.0E-3,253.7E-15,253.7E-15
273.0E-3,273.0E-3,276.2E-15,276.2E-15
294.0E-3,294.0E-3,300.5E-15,300.6E-15
315.0E-3,315.0E-3,329.1E-15,329.1E-15
336.0E-3,336.0E-3,367.0E-15,367.0E-15
357.0E-3,357.0E-3,426.2E-15,426.2E-15
378.0E-3,378.0E-3,533.2E-15,533.2E-15
399.0E-3,399.0E-3,747.9E-15,747.9E-15
420.0E-3,420.0E-3,1.205E-12,1.205E-12
441.0E-3,441.0E-3,2.209E-12,2.209E-12
462.0E-3,462.0E-3,4.443E-12,4.443E-12
483.0E-3,483.0E-3,9.448E-12,9.447E-12
504.0E-3,504.0E-3,20.69E-12,20.69E-12
525.0E-3,525.0E-3,46.00E-12,46.00E-12
546.0E-3,546.0E-3,103.0E-12,103.0E-12
567.0E-3,567.0E-3,231.2E-12,231.2E-12
588.0E-3,588.0E-3,520.1E-12,520.1E-12
609.0E-3,609.0E-3,1.171E-9,1.171E-9
630.0E-3,630.0E-3,2.636E-9,2.636E-9
651.0E-3,651.0E-3,5.936E-9,5.936E-9
672.0E-3,672.0E-3,13.37E-9,13.37E-9
693.0E-3,693.0E-3,30.11E-9,30.11E-9
714.0E-3,714.0E-3,67.81E-9,67.81E-9
735.0E-3,735.0E-3,152.7E-9,152.7E-9
756.0E-3,756.0E-3,344.0E-9,344.0E-9
777.0E-3,777.0E-3,774.8E-9,774.8E-9
798.0E-3,798.0E-3,1.745E-6,1.745E-6
819.0E-3,819.0E-3,3.930E-6,3.930E-6
840.0E-3,840.0E-3,8.852E-6,8.852E-6
861.0E-3,861.0E-3,19.94E-6,19.94E-6
882.0E-3,882.0E-3,44.90E-6,44.90E-6
903.0E-3,903.0E-3,101.1E-6,101.1E-6
924.0E-3,924.0E-3,227.8E-6,227.7E-6
945.0E-3,945.0E-3,513.0E-6,513.0E-6
966.0E-3,966.0E-3,1.155E-3,1.156E-3
987.0E-3,987.0E-3,2.602E-3,2.601E-3
1.008,1.008,5.861E-3,5.821E-3
1.029,1.029,13.20E-3,12.11E-3
1.050,1.050,29.73E-3,22.76E-3
